naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
OSNOVNA ŠKOLA PROF. FRANJE VIKTORA ŠIGNJARA;Osnovna škola;Matična škola;NA;06-260-001;0-0;Koprivničko-križevačka;IVANA GUNDULIĆA   5a;48326  Virje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marica  Cik Adaković;048/897-060 , 048/897-060 , 048/897-060 , 048/897-730;048/897-730;skola@os-fvsignjara-virje.skole.hr;http://www.os-fvsignjara-virje.skole.hr/;  OSNOVNA ŠKOLA PROF. FRANJE VIKTORA  ŠIGNJARA - Područna škola Hampovica   , HAMPOVICA, ŠIMUNA PANDURA 64 a, 48350 Hampovica ,   OSNOVNA ŠKOLA PROF. FRANJE VIKTORA  ŠIGNJARA - Područna škola Miholjanec   , MIHOLJANEC, ANTUNA MIHANOVIĆA 86, 48326 Miholjanec ,   OSNOVNA ŠKOLA PROF. FRANJE VIKTORA  ŠIGNJARA - Područna škola Šemovci   , ŠEMOVCI, STJEPANA RADIĆA 120, 48350 Šemovci
OSNOVNA ŠKOLA IVAN LACKOVIĆ CROATA KALINOVAC;Osnovna škola;Matična škola;NA;06-559-001;0-0;Koprivničko-križevačka;DRAVSKA 6;48361  Kalinovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Bazijanec;048/883-068 , 048/883-272 , 048/814-510 , 048/883-272 , 048/280-060;048 / 814-511 , 048/883-272;mirjana.bazijanec@skole.hr , racunovodstvo.os.kalinovac@gmail.com , ured@os-kalinovac.skole.hr ;NA;NA
OSNOVNA ŠKOLA KALNIK;Osnovna škola;Matična škola;NA;06-560-001;0-0;Koprivničko-križevačka;TRG STJEPANA RADIĆA 9;48269  Kalnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđica  Sučić;048/857-046 , 048/857-414 , 048/270-221;048/270-219;os-kalnik@kc.t-com.hr , ured@os-kalnik.skole.hr , racunovodstvo-os-kalnik-001@kckzz.hr;http://www.os-kalnik.skole.hr/;NA
I. OSNOVNA  ŠKOLA BJELOVAR;Osnovna škola;Matična škola;NA;07-004-001;0-0;Bjelovarsko-bilogorska;ŽELJKA SABOLA 14;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martina  Supančić;043/246-906 , 043/246-907 , 043/246-908;043/246-908;tajnistvo@1osb.ims.hr , prva.bj@os-prva-bj.skole.hr  , ravnatelj@1osb.ims.hr , tajnistvo@1osb.ims.hr;http://www.os-prva-bj.skole.hr/;  I. OSNOVNA ŠKOLA BJELOVAR - Područna škola Ciglena   , VELIKA CIGLENA 7, 43000 Ciglena ,   I. OSNOVNA ŠKOLA BJELOVAR - Područna škola Nove Plavnice   , NOVE PLAVNICE 2, 43000 Bjelovar ,   I. OSNOVNA ŠKOLA BJELOVAR - Područna škola Klokočevac   , KLOKOČEVAC bb, 43211 Klokočevac ,   I. OSNOVNA ŠKOLA BJELOVAR - Područna škola Tomaš   , TOMAŠ 86, 43000 Tomaš
II. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;Matična škola;NA;07-004-002;0-0;Bjelovarsko-bilogorska;IVANA VITEZA TRNSKOG 19;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ines  Kapša;043/220-186 , 043/220-240, kućni 106 , 043/220-240, kućni 101 , 043/220-240 , 043/220-240, kućni 103 , 043/220-240, kućni 105 , 043/220-240, kućni 102 , 043/220-240, kućni 104 , 043/243-635;043/244-728;2.os-bjelovar@bj.t-com.hr , ssluzba@os-druga-bj.skole.hr , ines.kapsa@skole.hr , tajnistvo@os-druga-bj.skole.hr , ured@os-druga-bj.skole.hr , ured@os-druga.bj.skole.hr;NA;  II. OSNOVNA ŠKOLA BJELOVAR - Područna škola Ždralovi   , Daruvarska 40, 43000 Ždralovi
III. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;Matična škola;NA;07-004-003;0-0;Bjelovarsko-bilogorska;TOME BAKAČA 11 D;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Goranka  Preskočil;043/246-510 , 043/246-610 , 043/246-010, 245-810;043/221-545;ured@os-treca-bj.skole.hr;http://os-treca-bj.skole.hr/;  III. OSNOVNA ŠKOLA BJELOVAR - Područna škola Gudovac   , GUDOVAC 128, 43251 Gudovac ,   III. OSNOVNA ŠKOLA BJELOVAR - Područna škola Galovac   , GALOVAC 99, 43000 Ciglena ,   III. OSNOVNA ŠKOLA BJELOVAR - Područna škola Obrovnica   , OBROVNICA 28, 43000 Obrovnica ,   III. OSNOVNA ŠKOLA BJELOVAR - Područna škola Veliko Korenovo   , VELIKO KORENOVO 115, 43000 Veliko Korenovo
IV. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;Matična škola;NA;07-004-004;0-0;Bjelovarsko-bilogorska;Poljana dr. Franje Tuđmana 1;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Margetić;492-610 , 492-608 , 225-025 , 043/213-021 , 043/213-024 , 043/213-023;043/213-022;ured@os-cetvrta-bj.skole.hr;os-cetvrta-bj.skole.hr;  IV. OSNOVNA ŠKOLA BJELOVAR - Područna škola Gornje Plavnice   , GORNJE PLAVNICE 37, 43000 Bjelovar
V OSNOVNA ŠKOLA;Osnovna škola;Matična škola;NA;07-004-005;0-0;Bjelovarsko-bilogorska;ŠETALIŠTE DR. IVŠE LEBOVIĆA 1;43000  Bjelovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasmina  Vuković;043/242-645;043/247323;skola@os-peta-bj.skole.hr , skola@os-peta-bj.skole.hr;NA;NA
OSNOVNA ŠKOLA ČAZMA;Osnovna škola;Matična škola;NA;07-011-001;0-0;Bjelovarsko-bilogorska;ALOJZA VULINCA 22;43240  Čazma; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Osman;043/771-083 , 043/227-016 , 043/771-441 , 043/227015, 043227016;043/771-720;ured@os-cazma.skole.hr;www.os-cazma.skole.hr;  OSNOVNA ŠKOLA ČAZMA - Područna škola Dapci   , Dapci 21, 43240 Dapci ,   OSNOVNA ŠKOLA ČAZMA - Područna škola Draganec   , Gornji Draganec 231 , 43245 Gornji Draganec ,   OSNOVNA ŠKOLA ČAZMA - Područna škola Grabovnica   , Ante Starčevića 56, 43240 Grabovnica ,   OSNOVNA ŠKOLA ČAZMA - Područna škola Miklouš   , Gornji Miklouš 61, 43240 Gornji Miklouš ,   OSNOVNA ŠKOLA ČAZMA - Područna škola Vrtlinska   , VRTLINSKA 101, 43240 Vrtlinska
OSNOVNA ŠKOLA VLADIMIRA NAZORA;Osnovna škola;Matična škola;NA;07-012-001;0-0;Bjelovarsko-bilogorska;GAJEVA 24;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kornelija  Častek;043/331-147 , 043/440-386;043/440103;os-daruvar-001@os-vnazora-daruvar.skole.hr;http://os-vnazora-daruvar.skole.hr/;  OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Frankopanska, Daruvar   , FRANKOPANSKA 80, 43500 Daruvar ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Ivanovo Polje   , Ivanovo Polje 76, 43500 Ivanovo Polje ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Gornji Daruvar   , GORNJI DARUVAR, PODBORSKA 9 B, 43500 Gornji Daruvar ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Doljani   , Hrvatskih branitelja 52, 43500 Doljani ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Gornji Sređani   , Gornji  Sređani 76, 43506 Gornji Sređani ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA - Područna škola Batinjani   , Batinjani 138, 43500 Batinjani
ČEŠKA OSNOVNA ŠKOLA JANA AMOSA KOMENSKOG - ČESKÁ ZÁKLADNÍ ŠKOLA JANA AMOSE KOMENSKÉHO;Osnovna škola;Matična škola;NA;07-012-002;0-0;Bjelovarsko-bilogorska;T. G. Masaryka 5;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Valek;043/448-110 , 043/448-111 , 043/448-112 , 043/331-475 , 043/335-848 , 043/331-476;043/331-475;ured@os-ceska-jakomenskog-daruvar.skole.hr , ured@os-ceska-jakomenskog-daruvar.skole.hr;http://os-ceska-jakomenskog-daruvar.skole.hr/;  ČEŠKA OSNOVNA ŠKOLA JANA AMOSA KOMENSKOG - Područna škola Donji Sređani   , Donji Sređani 60, 43506 Donji Sređani ,   ČEŠKA OSNOVNA ŠKOLA JANA AMOSA KOMENSKOG - Područna škola Ljudevitino Selo   , Ljudevit Selo 15, 43500 Ljudevit Selo
CENTAR ZA ODGOJ I OBRAZOVANJE RUDOLF STEINER DARUVAR;Osnovna škola;Matična škola;NA;07-012-004;0-0;Bjelovarsko-bilogorska;MASARYKOVA 85;43500  Daruvar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Silvija  Kancijan;043/333-544 , 043/333-544;NA;info@crsd.hr;NA;NA
OSNOVNA ŠKOLA GAREŠNICA;Osnovna škola, Umjetnička škola;Matična škola;NA;07-024-001;0-0;Bjelovarsko-bilogorska;Kolodvorska 4;43280  Garešnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Slaven  Marenić;043/531-107 , 043/531-109 , 043/445-019;043/531-109;ured@os-garesnica.skole.hr;http://www.os-garesnica.skole.hr/;  OSNOVNA ŠKOLA GAREŠNICA - Područna škola Garešnički Brestovac   , Brestovačka 68, 43280 Garešnički Brestovac ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Hrastovac   , Trg Ante Starčevića 5, 43280 Hrastovac ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Kaniška Iva   , Kaniška Iva 118, 43283 Kaniška Iva ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Kapelica   , Kapelica 122, 43280 Kapelica ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Tomašica   , Tomašica 86, 43280 Tomašica ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Veliki Pašijan   , Veliki Pašijan 73, 43280 Veliki Pašijan ,   OSNOVNA ŠKOLA GAREŠNICA - Područna škola Zdenčac   , Banovača 77, 43280 Zdenčac
OSNOVNA ŠKOLA TRNOVITIČKI POPOVAC;Osnovna škola;Matična škola;NA;07-024-003;0-0;Bjelovarsko-bilogorska;Trnovitički Popovac 80;43233  Trnovitički Popovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Stjepan  Popić;043/542-900 , 043/542-012;043/542-012;ured@os-trnoviticki-popovac.skole.hr;NA;NA
OSNOVNA ŠKOLA IVANA NEPOMUKA JEMERŠIĆA;Osnovna škola;Matična škola;NA;07-028-001;0-0;Bjelovarsko-bilogorska;HRVATSKIH BRANITELJA 20;43290  Grubišno Polje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Šeliš;043/485-020 , 043/485-421;043/485-007;ured@os-injemersica-grubisnopolje.skole.hr;http://os-injemersica-grubisnopolje.skole.hr/;  OSNOVNA ŠKOLA IVANA NEPOMUKA JEMERŠIĆA - Područna škola Ivanovo Selo   , TRG ALBINA KRIŠKOVIĆA 7, 43504 Ivanovo Selo ,   OSNOVNA ŠKOLA IVANA NEPOMUKA JEMERŠIĆA - Područna škola Veliki Zdenci   , TRG KRALJA TOMISLAVA 5, 43293 Veliki Zdenci
OSNOVNA ŠKOLA MIRKA PEREŠA;Osnovna škola;Matična škola;NA;07-261-001;0-0;Bjelovarsko-bilogorska;1. SVIBNJA 2;43203  Kapela; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anamarija  Tuškan;043  884 991 , 043 884 996 , 043 884 989 , 043  884  990 , 043/884-992 , 043 884 993 , 043 884 994 , 043 884 995;043/884-997;ured@os-mperesa-kapela.skole.hr , os-mirka-peresa@bj.t-com.hr;www.os-mperesa-kapela.skole.hr;  OSNOVNA ŠKOLA MIRKA PEREŠA - Područna škola Donji Mosti   , Donji Mosti 59, 43203 Donji Mosti ,   OSNOVNA ŠKOLA MIRKA PEREŠA - Područna škola Gornje Sredice   , SREDICE GORNJE 76 A, 43203 Sredice Gornje ,   OSNOVNA ŠKOLA MIRKA PEREŠA - Područna škola Jabučeta   , JABUČETA 1, 43203 Jabučeta ,   OSNOVNA ŠKOLA MIRKA PEREŠA - Područna škola Jakopovac   , Jakopovac 28, 43202 Jakopovac ,   OSNOVNA ŠKOLA MIRKA PEREŠA - Područna škola Stari Skucani   , Stari Skucani 82, 43203 Stari Skucani
OSNOVNA ŠKOLA VELIKO TROJSTVO;Osnovna škola;Matična škola;NA;07-262-001;0-0;Bjelovarsko-bilogorska;BRAĆE RADIĆA 49;43226  Veliko Trojstvo; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Vranješević;0959103876 , 043/885-006 , 043/885-905;043/885-905;branka.gilanj@gmail.com , sanja.vranjesevic@skole.hr , ured@os-veliko-trojstvo.skole.hr ;NA;  OSNOVNA ŠKOLA VELIKO TROJSTVO - Područna škola Malo Trojstvo   , Malo Trojstvo 46, 43226 Malo Trojstvo ,   OSNOVNA ŠKOLA VELIKO TROJSTVO - Područna škola Šandrovac   , BJELOVARSKA 2, 43227 Šandrovac ,   OSNOVNA ŠKOLA VELIKO TROJSTVO - Područna škola Ćurlovac   , ĆURLOVAC 17, 43000 Ćurlovac
OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG;Osnovna škola;Matična škola;NA;07-263-001;0-0;Bjelovarsko-bilogorska;TRG STJEPANA RADIĆA 54;43272  Nova Rača; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dario  Jaušić;+38543550277 , +38543214733 , +38543886900 , +38543886901 , +38543886903 , +38543886936 , +38543886934;+38543886902;ured@os-ivt-nova-raca.skole.hr , nova.raca@hotmail.com;NA;  OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG - Područna škola Sasovac   , SASOVAC 25, 43272 Sasovac ,   OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG - Područna škola Međurača   , Međurača 206, 43272 Međurača ,   OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG - Područna škola Dautan   , DAUTAN 94, 43272 Dautan ,   OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG - Područna škola Severin   , Severin 235, 43274 Severin ,   OSNOVNA ŠKOLA IVANA VITEZA TRNSKOG - Područna škola Bulinac   , Bulinac 77, 43273 Bulinac
OSNOVNA ŠKOLA VELIKA PISANICA;Osnovna škola;Matična škola;NA;07-264-001;0-0;Bjelovarsko-bilogorska;HRVATSKIH MUČENIKA 3;43270  Velika Pisanica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Haić;043/883-110 , 043/883-900;043/883-915;ured@os-velika-pisanica.skole.hr;NA;  OSNOVNA ŠKOLA VELIKA PISANICA - Područna škola Bedenik   , BEDENIK 128, 43273 Bedenik ,   OSNOVNA ŠKOLA VELIKA PISANICA - Područna škola Lasovac   , LASOVAC 168, 43273 Lasovac ,   OSNOVNA ŠKOLA VELIKA PISANICA - Područna škola Ribnjačka   , Ribnjačka 31, 43273 Ribnjačka
ČEŠKA OSNOVNA ŠKOLA JOSIPA RUŽIČKE KONČANICA-ČESKÁ ZÁKLADNÍ ŠKOLA JOSEFA RŮŽIČKY KONČENICE;Osnovna škola;Matična škola;NA;07-265-001;0-0;Bjelovarsko-bilogorska;Končanica 258;43505  Končanica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jaromir  Vrabec;043/675-760 , 043/325-005;043/325-005;ured@os-ceska-jruzicka-koncanica.skole.hr;NA;  ČEŠKA OSNOVNA ŠKOLA JOSIPA RUŽIČKE KONČANICA - Područna škola Daruvarski Brestovac   , Daruvarski Brestovac 176, 43505 Končanica ,   ČEŠKA OSNOVNA ŠKOLA JOSIPA RUŽIČKE KONČANICA - Područna škola Dioš   , Dioš 68A, 43505 Dioš
OSNOVNA ŠKOLA DEŽANOVAC;Osnovna škola;Matična škola;NA;07-266-001;0-0;Bjelovarsko-bilogorska;DEŽANOVAC 285;43506  Dežanovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zoran  Činčak;043/675-840 , 043/675-841 , 043/675-845 , 043/675-842 , 043/675-846;043/675-849;os.dezanovac@gmail.com , ravnatelj@os-dezanovac.skole.hr;www.os-dezanovac.skole.hr;  OSNOVNA ŠKOLA DEŽANOVAC - Područna škola Blagorodovac   , BANA JELAČIĆA 8, BLAGORODOVAC, 43280 Garešnica ,   OSNOVNA ŠKOLA DEŽANOVAC - Područna škola Sokolovac   , SOKOLOVAC, Braće Radića 14, 43500 Daruvar ,   OSNOVNA ŠKOLA DEŽANOVAC - Područna škola Trojeglava   , HRVATSKIH VELIKANA 1, TROJEGLAVA, 43500 Daruvar ,   OSNOVNA ŠKOLA DEŽANOVAC - Područna škola Uljanik   , ULJANIK 90, 43280 Garešnica
OSNOVNA ŠKOLA SIRAČ;Osnovna škola;Matična škola;NA;07-267-001;0-0;Bjelovarsko-bilogorska;VLADIMIRA NAZORA 10;43541  Sirač; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Pavičić;043/442-005 , 043/442-121 , 043/442-004;043/442-120;skola@os-sirac.skole.hr;os-sirac.skole.hr;  OSNOVNA ŠKOLA SIRAČ - Područna škola Kip   , KIP 40, 43500 Kip ,   OSNOVNA ŠKOLA SIRAČ - Područna škola Šibovac   , ŠIBOVAC 16, 43500 Šibovac
OSNOVNA ŠKOLA U ĐULOVCU;Osnovna škola;Matična škola;NA;07-268-001;0-0;Bjelovarsko-bilogorska;ĐURINA ULICA 27;43532  Đulovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vlatka  Tokić;043/382-029,043 382/900 , 043/382-029;043/382-901;os-djulovac@os-djulovac.skole.hr;http:/os-djulovac.skole.hr;  OSNOVNA ŠKOLA U ĐULOVCU - Područna škola Veliki Bastaji   , VELIKI BASTAJI 82, 43531 Veliki Bastaji ,   OSNOVNA ŠKOLA U ĐULOVCU - Područna škola Donja Vrijeska   , DONJA VRIJESKA, 43531 Donja Vrijeska
OSNOVNA ŠKOLA IVANSKA;Osnovna škola;Matična škola;NA;07-269-001;0-0;Bjelovarsko-bilogorska;PETRA PRERADOVIĆA 2;43231  Ivanska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sunčica  Đuričić-Kocijan;043/227-562 , 043/227-560 , 043/227-566 , 043/227-564;043/227-567;os-ivanska@bj.t-com.hr , ured@os-ivanska.skole.hr;www.os-ivanska.skole.hr;  OSNOVNA ŠKOLA IVANSKA - Područna škola Donja Petrička   , DONJA PETRIČKA 25, 43232 Donja Petrička ,   OSNOVNA ŠKOLA IVANSKA - Područna škola Narta   , NARTA 276A, 43247 Narta ,   OSNOVNA ŠKOLA IVANSKA - Područna škola Stara Ploščica   , STARA PLOŠČICA 118, 43232 Stara Plošćica
OSNOVNA ŠKOLA ŠTEFANJE;Osnovna škola;Matična škola;NA;07-270-001;0-0;Bjelovarsko-bilogorska;ŠTEFANJE 72;43246  Štefanje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Pavlinec-Kolarić;043 778 428 , 043/778-028 , 043/778-900;043/778-028;ured@os-stefanje.skole.hr , vesna.pavlinec-kolaric@os-stefanje.skole.hr;www.os-stefanje.skole.hr;  OSNOVNA ŠKOLA ŠTEFANJE - Područna škola Laminac   , LAMINAC 116, 43246 Laminac
OSNOVNA ŠKOLA MATE LOVRAKA;Osnovna škola;Matična škola;NA;07-271-001;0-0;Bjelovarsko-bilogorska;TRG MATE LOVRAKA 11;43270  Veliki Grđevac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marina  Balen;043/443-025 , 043/431-021 , 043/443-012 , 043/461-582;NA;ured@os-mlovraka-veliki-grdjevac.skole.hr;http://os-mlovraka-veliki-grdjevac.skole.hr/;  OSNOVNA ŠKOLA MATE LOVRAKA - Područna škola Donja Kovačica   , DONJA KOVAČICA, 43270 Donja Kovačica ,   OSNOVNA ŠKOLA MATE LOVRAKA - Područna škola Mala Pisanica   , MALA PISANICA, 43270 Mala Pisanica ,   OSNOVNA ŠKOLA MATE LOVRAKA - Područna škola Pavlovac   , PAVLOVAC, 43270 Pavlovac
OSNOVNA ŠKOLA BEREK;Osnovna škola;Matična škola;NA;07-272-001;0-0;Bjelovarsko-bilogorska;BEREK 73;43232  Berek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dušica  Vunić;043/548-900 , 043/548-125;NA;ured@os-berek.skole.hr;NA;NA
OSNOVNA ŠKOLA Slavka Kolara;Osnovna škola;Matična škola;NA;07-273-001;0-0;Bjelovarsko-bilogorska;BRAĆE PETR 2;43284  Hercegovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vera  Obrovac;043/524-539 , 043/444-012 , 043/522-140, 523-169;043/524-539;ured@os-skolara-hercegovac.skole.hr;http://www.os-skolara-hercegovac.skole.hr;  OSNOVNA ŠKOLA Slavka Kolara - Područna škola Ladislav   , LADISLAV 114, 43284 Hercegovac ,   OSNOVNA ŠKOLA Slavka Kolara - Područna škola Palešnik   , PALEŠNIK 120, 43284 Hercegovac
OSNOVNA ŠKOLA ROVIŠĆE;Osnovna škola;Matična škola;NA;07-274-001;0-0;Bjelovarsko-bilogorska;Vladimira Nazora 1;43212  Rovišće; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Blanka  Klemić;043/228-568 , 043/228-548 , 043/228-555 , 043/878-159 , 043/327-253 , 043/878-645;043/878-159;katica.hajtic@skole.hr , anamarija.curic2@skole.hr , skola@os-rovisce.skole.hr  , blanka.klemic@skole.hr;http://os-rovisce.skole.hr;  OSNOVNA ŠKOLA ROVIŠĆE - Područna škola Predavac   , TRG HRVATSKIH GRANIČARA 9, 43211 Predavac ,   OSNOVNA ŠKOLA ROVIŠĆE - Područna škola Podgorci   , PODGORCI 68, 43211 Podgorci ,   OSNOVNA ŠKOLA ROVIŠĆE - Područna škola Zrinski Topolovac   , ZRINSKI TOPOLOVAC 241A, 43202 Zrinski Topolovac ,   OSNOVNA ŠKOLA ROVIŠĆE - Područna škola Prgomelje   , PRGOMELJE 80, 43252 Prgomelje ,   OSNOVNA ŠKOLA ROVIŠĆE - Područna škola Kraljevac   , KRALJEVAC 71, 43212 Kraljevac
OSNOVNA ŠKOLA TRNOVITICA;Osnovna škola;Matična škola;NA;07-565-001;0-0;Bjelovarsko-bilogorska;VELIKA TRNOVITICA 96;43285  Velika Trnovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravko  Ređep;043/541-900 , 043/541-002;043/541-002;ostrnovitica@inet.hr , ured@os-velika-trnovitica.skole.hr;http://os-velika-trnovitica.skole.hr;  OSNOVNA ŠKOLA TRNOVITICA - Područna škola Nova Ploščica   , NOVA PLOŠČICA bb, 43285 Nova Ploščica
OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA;Osnovna škola, Umjetnička škola;Matična škola;NA;08-008-002;0-0;Primorsko-goranska;VINODOLSKA 12;51260  Crikvenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Deana  Čandrlić-Zorica;051/246-165 , 051/786-957 , 051/781-091 , 051/784-045;051/781-091;skola@os-vnazora-crikvenica.skole.hr;NA;  OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA - Područna škola Dramalj   , DRAMALJ 59, 51265 Dramalj ,   OSNOVNA ŠKOLA VLADIMIRA NAZORA CRIKVENICA - Područna škola Jadranovo   , VLADIMIRA NAZORA 5, 51264 Jadranovo ,   Glazbena škola Vladimira Nazora pri Osnovnoj školi Vladimira Nazora Crikvenica   , VINODOLSKA 12, 51260 Crikvenica
Osnovna škola Zvonka Cara;Osnovna škola;Matična škola;NA;08-008-003;0-0;Primorsko-goranska;Kotorska 13;51260  Crikvenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Desiree  Pečaver;051784205 , 051-764-100 , 051/241-866 , 051/241-866 , 051/241-217;051/241-866;damir.donadic@skole.hr , selce@os-zvonkacara.hr , pothalasso@gmail.com , tajnistvo@os-zvonkacara.hr  , ravnateljica@os-zvonkacara.hr;NA;  Osnovna škola Zvonka Cara - Područna škola Selce   , Andrije Antića 33, 51266 Selce
Osnovna škola Petar Zrinski Čabar;Osnovna škola;Matična škola;NA;08-009-001;0-0;Primorsko-goranska;Narodnog oslobođenja 5;51306  Čabar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Silvana  Šebalj-Mačkić;051/821-147;051/821-016;ured@os-pzrinski-cabar.skole.hr , ured@os-pzrinski-cabar.skole.hr;http://os-pzrinski-cabar.skole.hr/ ;  Osnovna škola Petar Zrinski Čabar - Područna škola Tršće   , Ivana Kovača  16, 51305 Tršće ,   Osnovna škola Petar Zrinski Čabar - Područna škola Gerovo   , Zagrebačka ulica  2, 51304 Gerovo ,   Osnovna škola Petar Zrinski Čabar - Područna škola Plešce   , Antuna Muhvića 27, 51303 Plešce ,   Osnovna škola Petar Zrinski Čabar - Područna škola Prezid   , Goranska ulica  103, 51307 Prezid
Osnovna škola Ivana Gorana Kovačića;Osnovna škola;Matična škola;NA;08-013-001;0-0;Primorsko-goranska;ŠETALIŠTE I.G.KOVAČIĆA 2;51300  Delnice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mladen  Bolf;051/812-482;051/812-263;ured@os-igkovacica-delnice.skole.hr , os.delnice@oskovacic.tcloud.hr;www.osigk-delnice.hr;  Osnovna škola Ivana Gorana Kovačića - Područna škola Crni Lug   , IVANA GORANA KOVAČIĆA 2, 51317 Crni Lug
Osnovna škola Frana Krste Frankopana;Osnovna škola;Matična škola;NA;08-013-002;0-0;Primorsko-goranska;KRALJA TOMISLAVA 12a;51301  Brod na Kupi; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Davor  Tkalac;051/837-172 , 051/814-133;051/814-134;brodkupa@gmail.com , ured@os-fkfrankopan-brodnakupi.skole.hr;http://os-fkfrankopan-brodnakupi.skole.hr/;NA
