naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
"DV ""Opuzen""";Grad Opuzen;Dubrovačko-neretvanska županija ;Zagrebačka 3/I;Opuzen;020/671-260;djecji.vrtic.opuzen@gmail.com;NA
"DV ""Palčić""";grad Orahovica;Virovitičko-podravska županija ;Franje Gavrančića 18;Orahovica;033/400-307   -   033/673-222;vrticpalcic@net.hr;NA
"Dječji vrtić ""Orebić""";Općina Orebić , ;Dubrovačko-neretvanska županija ;Ul. Bana Josipa Jelačića 8;Orebić;020/713-132;djecji-vrtic-orebic@du.t-com.hr; PO Potomje, Potomje, 20244 Potomje ,  PO Viganj, Viganj, 20267 Viganj ,  PO Trpanj, Trpanj, 20240 Trpanj ,  PO Janjina, Janjina, 20246 Janjina
Program predškole pri OŠ Orehovica;Međimurska županija;Međimurska županija ;Školska ulica 2;Orehovica;040/635 020;ured@os-orehovica.skole.hr;NA
"Dječji vrtić ""Ivančica Oriovac""";Općina Oriovac;Brodsko-posavska županija ;Luke Ilića bb;Oriovac;035/409-787;vrticoriovac@gmail.com; PO Brodski Stupnik, Stjepana Radića 37,  
"Dječji vrtić ""Šlapica""";Lucija Prpić Babić;Krapinsko-zagorska županija ;Ulica kralja Tomislava 31a;Oroslavje;099/7688764;lucija.pb@gmail.com;NA
"Dječji vrtić ""Cvrkutić""";Grad Oroslavje;Krapinsko-zagorska županija ;Ulica Antuna Mihanovića 6;Oroslavje;049/285-640;cvrkutic@h-1.hr;NA
"Prosvjetno-kulturni centar Mađara u Republici Hrvatskoj - DV ""Bobita""";Vlada  Republike  Hrvatske;Osječko-baranjska županija ;Drinska 12a;Osijek;031/274-340, 274 - 339;hmomk@pkcm.hr;NA
Dječji vrtić Mali princ;Marijana Karpati;Osječko-baranjska županija ;Dunavska 86;Osijek;031/658-994;maliprinc031@gmail.com; PO Osijek, Ante Paradžika 3 , 31000 Osijek ,  PO Batina, Srednja 33, 31306 Batina ,  PO Dalj, Ulica bana Josipa Jelačića 12, 31226 Dalj ,  PO Bijelo Brdo, Nikole Tesle 69, 31204 Bijelo Brdo ,  PO Jagodnjak, B. Kidriča 188, 31324 Jagodnjak ,  PO Osijek, Dunavska 86,   ,  PO Antunovac, Kralja Zvonimira bb,   ,  PO Ivanovac, Duga ulica 38,   ,  PO Feričanci, Trg Matije Gupca 4,   ,  PO Vuka, Osječka 83,  
Dječji vrtić Osijek;Grad Osijek;Osječko-baranjska županija ;Vijenac Ivana Meštrovića 7;Osijek;031/204-700;dvo@vrticiosijek.hr; PO Maslačak, Veleluška bb, 31000 Osijek ,  PO Nevičica, Opatijska 68a, 31000 Osijek ,  PO Josipovac, M. Marulić 18a, 31221 Josipovac ,  PO Jelenko, Bele Bartoka 55a, 31000 Osijek ,  PO Sunčica, Kolodvorska 61a, 31000 Osijek ,  PO Latica, Vijenac A. Cesarca 15, 31000 Osijek ,  PO Cvrčak, Strossmayerova 145, 31000 Osijek ,  PO Bubamara, Ul. P. Pejačevića 21, 31000 Osijek ,  PO Zvončić, Ul. Grada Vukovara 2, 31431 Čepin ,  PO Radost, Zagrebačka 10, 31000 Osijek ,  PO Vedri dani, Lorenza Jagera 16, 31000 Osijek ,  PO Sjenčica, Sjenjak 8, 31000 Osijek ,  PO Tratinčica, Gacka 1b, 31000 Osijek ,  PO Pčelica, Gacka 1a, 31000 Osijek ,  PO Potočnica, Ul. I. Kršnjavoga 29, 31000 Osijek ,  PO Kockica, Vijenac lipa bb, 31000 Osijek ,  PO Jabuka, Vijenac I Česmičkog 7a, 31000 Osijek ,  PO Kosjenka, Ul. Kralja P. Svačića 36a, 31000 Osijek ,  PO Krijesnica, Korčulanska 3, 31000 Osijek ,  PO Vrapčić, V. Mačeka 10, 31207 Tenja ,  PO Jaglenac, Krstova 99a, 31000 Osijek ,  PO Ivančica, I. Tijardovića 4, 31000 Osijek ,  PO Mak, Vijenac Murse 8, 31000 Osijek ,  PO Stribor, Vijenac I. Meštrovića 7a, 31000 Osijek ,  PO Bambi Podravlje, P. E. Savojskog 4, 31000 Osijek ,  PO Vuka, Milka Cepelića 1, 31403 Vuka ,  PO Vladislavci, K. Tomislava 75, 31404 Vladislavci ,  PO Ribica Sarvaš, Osječka 64, 31204 Sarvaš ,  PO Višnjevac, Ulica Ivana Filipovića 69,  
Udruga GAUDEAMUS FUTURUS FAKTOR;MIRNA ŠAKIĆ;Osječko-baranjska županija ;Ulica Stjepana Radića 10;Osijek;031 200828;kristina.sakic@gaudeamus.hr;NA
Dječji vrtić Snjeguljica;Snježana Despot;Osječko-baranjska županija ;Krstova 44;Osijek;031/494-812;djecjivrtic.snjeguljica@gmail.com; PO Magadenovac, Školska 3,   ,  PO Vuka, Osječka 83,  
"DV ""LANE""";Danijela i Nenad Žugec;Osječko-baranjska županija ;Bogdanovačka 21, Uske njive;Osijek;031-580-051;dv-lane.os@hotmail.com;NA
Dječji vrtić Lastavica;Monika Đuranović;Osječko-baranjska županija ;Ulica Svetog Roka 64;Osijek;091 792 8432;lastavica.osijek@gmail.com;NA
"Dječji vrtić ""Heidi""";Bosanac Hajdi;Osječko-baranjska županija ;Drinska 41;Osijek;031/271-350;heidi1977@gmail.com;NA
Centar za autizam;Županija Osječko-baranjska;Osječko-baranjska županija ;Vinkovačka 3;Osijek;031/201 850;ured@centar-autizam-os.skole.hr;NA
"Dječji vrtić ""Ciciban""";Grad Otočac;Ličko-senjska županija ;I. B. Mažuranić 3;Otočac;053/772-154, 746-037;djecji.vrtic.ciciban@gs.t-com.hr;NA
"DV ""Pupoljak""";Grad Otok;Vukovarsko-srijemska  županija ;Trg kralja Tomislava 3;Otok;032/200-459, 554-284;vrtic@pu-pupoljak.hr;NA
"Dječji vrtić ""Žabica""";Općina Otok;Splitsko-dalmatinska županija ;Trg Franje Tuđmana 4;Otok;021/834-977;djecji.vrtic.zabica.otok@st.t-com.hr;NA
Dječji vrtić Zvončić Ozalj;Grad Ozalj;Karlovačka županija ;Trg Braće Radića 4;Ozalj;047/731-251;dvzvoncic@gmail.com;NA
"Dječji vrtić ""Paški mališani""";Grad Pag;Zadarska županija ;Velebitska 6;Pag;023/611-089;djecji.vrtic.paski.malisani@zd.t-com.hr; PO Povljana, Strossmayerova 28,  
"Dječji vrtić ""Gardelin""";Općina Pakoštane;Zadarska županija ;Petra Zrinskog 3;Pakoštane;023/381-828,0993480662;djecji.vrtic.pakostane@zd.t-com.hr;NA
"Dječji vrtić ""Maslačak""";Grad Pakrac;Požeško-slavonska županija ;Matice Hrvatske 13b;Pakrac;034/313-416;info@dvmp.hr; PO Prekopakra, Ante Starčevića 33, 34550 Prekopakra ,  PO Badljevina, Trg Franje Tuđmana 1, 34552 Badljevina ,  PO Kalvarija, Kalvarija 6a, 34550 Pakrac ,  PO Donja Obrijež, Donja Obrijež bb, 34553 Donja Obrijež
"DV ""Pahuljica""";Grad Rab;Primorsko-goranska županija ;Palit 135a;Palit;051/724-224;djecji.vrtic.pahuljica@inet.hr; PO Supetarska Draga, Supetarska Draga bb, 51280 Rab ,  PO Lopar, Lopar 289,   ,  PO Banjol, Banjol 524,  
"Dječji vrtić ""Otok Pašman""";Općina Pašman , ;Zadarska županija ;Dobropoljana 53;Pašman;023/374-528;dvpasman@gmail.com;NA
"Dječji vrtić ""Olga Ban""";Grad Pazin , ;Istarska županija ;Prolaz Otokara Keršovanija 1;Pazin;052/622-519;"vrtic-pazin@pu.t-com.hr; tajnistvo@vrtic-olgaban-pazin.hr "; PO Motovun, BORGO 26, 52424 MOTOVUN ,  PO Tinjan, TINJAN 1, 52444 TINJAN ,  PO Sveti Petar u šumi, PLAC 10, 52404 Sveti Petar u šumi ,  PO Lupoglav, Lupoglav 5, 52426 Lupoglav ,  PO Karojba, Karojba 35, 52423 Karojba ,  PO Gračišće, Gračišće 78, 52403 Gračišće ,  PO Cerovlje, Pazinski Novaki 1, 52402 Cerovlje ,  PO Tinjan 1, Tinjan 7D,  
Dječji vrtić Petrinjčica;Grad Petrinja;Sisačko-moslavačka županija ;Milana Dujnića 25;Petrinja;044/815-134;dv-petrinjcica@sk.t-com.hr; PO Duga, Ulica braće Hanžek 10, 44250 Petrinja ,  PO  I. B. Mažuranić, Ul. I. B. Mažuranić 12, 44250 Petrinja ,  PO Dražena Petrovića, Dražena Petrovića 13/4, 44250 Petrinja ,  PO Sisačka, Sisačka 87,  
Dječji vrtić Mali medvjed;Kristina Đurović;Istarska županija ;Kukurini 2a;Pićan;0994869106;e.kristinadjurovic@gmail.com;NA
Dječji vrtić LIŠNJAK;Općina Pićan;Istarska županija ;Pićan 60;Pićan;052/387264, 098/305631     ; lisnjak@pican.hr; PO Tupljak, Krištofići 35A,  
Dječji vrtić Mendula;Općina Pirovac;Šibensko-kninska županija ;Don Balda Vijalića 9A;Pirovac;099/537-1272    091/528-0598 ;info@djecjivrticmendula.hr  dvmendulap@gmail.com  ;NA
"Dječji vrtić ""Potočić Pisarovina""";Općina Pisarovina;Zagrebačka županija ;Velika Jamnička 1;Pisarovina;01 6291 032;dv.potocic.pisarovina@gmail.com;NA
"Dječji vrtić ""Potočnica""";općina Pitomača;Virovitičko-podravska županija ;Trg kralja Tomislava;Pitomača;033/782 287;vrticpotocnica@net.hr;NA
"Dječji vrtić ""Trogir""";Grad Trogir , ;Splitsko-dalmatinska županija ;Cesta Plano 70;Plano;021/582-581;kontakt@vrtic-trogir.hr; PO Maslina, Sv. Petra 8, 21220 Trogir ,  PO Maslačak, Kneza Trpimira 41, 21220 Trogir ,  PO Vrabac, Hrvatskih mučenika 29, 21220 Trogir ,  PO Ribola, Dr. Franje Tuđmana 16, 21220 Trogir ,  PO Sunce, Franini 1, 21220 Žedno, Trogir ,  PO More, Balančane 12,  
Program predškolskog odgoja pri OŠ Plaški;KARLOVAČKA ŽUPANIJA;Karlovačka županija ;Ulica 143. domobranske pukovnije 1a;Plaški;047/573-178;ured@os-plaski.skole.hr;NA
"Dječji vrtić ""Tratinčica""";GRAD PLETERNICA;Požeško-slavonska županija ;Školska 4;Pleternica;034/251-388, 095/ 814 3894;dv.tratincica.pl@gmail.com;NA
"Dječji vrtić ""Ploče""";Grad Ploče;Dubrovačko-neretvanska županija ;Trg bana Josipa Jela;Ploče;020/415-217, 020/679-175;djecji.vrtic.ploce@gmail.com; PO Staševica , Ulica Andrije Musulina 33 B, 20345 Staševica ,  PO Komin pri OŠ Ive Dugandžića Mišića, Bana J. Jelačića 13, 20344 Komin ,  PO Rogotin, Kolodvorska 4, 20343 Rogotin ,  PO Pastoralni centar, Obala dr. Franje Tuđmana 3,  
Dječji vrtić RIBICA;Općina Podbablje;Splitsko-dalmatinska županija ;Ulica Tina Ujevića 1;Podbablje Gornje;"098/1849344;098/9438954";djecjivrticribica0@gmail.com;NA
"Dječji vrtić ""Bambi Podcrkavlje""";Općina Podcrkavlje;Brodsko-posavska županija ;Diljska 33;Podcrkavlje;035/221 546;bambi.podcrkavlje@gmail.com;NA
"Dječji vrtić ""Morski Konjić""";Općina Podgora;Splitsko-dalmatinska županija ;Put sv. Vicenca 1;Podgora;021/625-622;dv.morski.konjic@gmail.com; PO Drašnice, Novi put b.b., 21328 Drašnice ,  PO Igrane, Vrtina BB, 21329 Igrane
"Dječji vrtić ""Leptirići"" Podravske Sesvete";Općina Podravske Sesvete;Koprivničko-križevačka županija ;Trg kralja Tomislava 14;Podravske Sesvete;048/733 146;info@dv-leptirici.hr;NA
"Dječji vrtić ""MALI MORNARI""";Maja Ledenko;Splitsko-dalmatinska županija ;Grljevačka 33;Podstrana;091 7623 122;mledenko@net.hr;NA
Dječji vrtić Mala tratinčica;Michaela Tarandek Lisjak, Anita Knez;Međimurska županija ;I. Zaloka 1g;Podturen;099/2865511 098/798340;djecjivrticmalatratincica@gmail.com;NA
Program predškole pri Osnovnoj školi Podturen;Međimurska županija;Međimurska županija ;Čakovečka 5;Podturen;"040/847 470; 040/847 477";ured@os-podturen.skole.hr;NA
"Dječji vrtić ""Smokvica""";MARICA PRSTAČIĆ LJUBIĆ;Zagrebačka županija ;Matije Gupca 92;Pojatno;01-3393-471;info@vrtic-smokvica.hr; PO Luka, Trg Sv. Roka 4, 10296 Luka ,  PO Dubravica, Pavla Štoosa 26,  
Program predškole pri OŠ Franka Lisice Polača ;OŠ Franka Lisice Polača;Zadarska županija ;Polača 140;Polača;023/662-166 ;ured@os-polaca.skole.hr;NA
"""Dječji vrtić Popovača""";Grad Popovača;Sisačko-moslavačka županija ;Ulica Alojzija Stepinca 3;Popovača;044/679-034 ;tajnica@vrtic-popovaca.hr, ravnateljica@vrtic-popovaca.hr; PO Voloder, Trg Svetog Antuna 22a, 44318 VOLODER
"Dječji vrtić ""Cipelići""";Irene Civadelić;Istarska županija ;Pulska 22;Poreč - Parenzo;052/453-084;djecjivrticcipelici@gmail.com;NA
"Dječji vrtić ""Crvenkapica""";Viviana Salvaro;Istarska županija ;Petra Preradovića 4;Poreč - Parenzo;052/434 447 (431-324); vrtic@dvcrvenkapica.hr;NA
"Dječji vrtić ""101 Dalmatinac""";Jasna Nujić;Istarska županija ;Nova Vas, Antonci 35;Poreč - Parenzo;052/ 451 087;101dalmatinac@windowslive.com;NA
"DJEČJI VRTIĆ ""RADOST"" POREČ-PARENZO";Grad Poreč;Istarska županija ;Ulica Rade Končara 7;Poreč - Parenzo;052/431-062;tajnistvo@radost.t-com.hr; PO Poreč II., O. Keršovanija 14, 52440 Poreč ,  PO Sv. Lovreč, Gradski trg 1, 52448 Sveti Lovreč ,  PO Kaštelir, Brnobići 39, 52464 Kaštelir ,  PO Vižinada, c. Grissi bb, 52447 Vižinada ,  PO Baderna, Baderna 4, 52450 Baderna ,  PO Žbandaj, Žbandaj 34/A,  
"Dječji vrtić ""Paperino""";Grad Poreč;Istarska županija ;Matka Laginje 6;Poreč - Parenzo;052/434-760   052/422-441;"direzione.paperino@gmail.com; segreteria.paperino@gmail.com"; PO Tar, Borgo 35, 52465 Tar-Vabriga ,  PO Vrvari, Školska bb, 52440 Vrvari ,  PO Veli Maj, Palacina bb,  
Program predškole pri OŠ Davorina Trstenjaka;Općina Drenovci;Vukovarsko-srijemska  županija ;Matije Gupca 160;Posavski Podgajci;032/867-005;ured@os-dtrstenjak-podgajci-posavski.skole.hr; PO Rajevo Selo, Zrinskih i Frankopan, 32261 Rajevo Selo
"Dječji vrtić ""Cvrčak-Posedarje""";Općina Posedarje;Zadarska županija ;Športska ulica 1a;Posedarje;023 266703;dvcvrcakposedarje@gmail.com;NA
"Dječji vrtić ""Grdelin""";Općina Postira;Splitsko-dalmatinska županija ;Polježice 4;Postira;021/632-775;dv.grdelin@gmail.com;NA
"Dječji vrtić ""Požega""";Grad Požega , Grad Požega;Požeško-slavonska županija ;Rudinska 8;Požega;"034/273-663;099/3273-663";info@djecjivrticpozega.hr; PO Cvjetna livada, ULICA KRALJA KREŠIMIRA 32A, 34000 Požega
"Dječji vrtić ""Radost""";Marija Kakuk;Požeško-slavonska županija ;Tekija 13;Požega;034/319-018;dv.radost@gmail.com;NA
DV Sv. Leopold Mandić;Požeška biskupija - Župa Sv. Leopolda Mandića;Požeško-slavonska županija ;Pavla Radića 36;Požega;034/211-692;djecji.vrtic.sv.leopold.mandic@po.htnet.hr;NA
"Dječji vrtić ""ŠARENI SVIJET""";Rusan Renata;Požeško-slavonska županija ;Frankopanska 180;Požega;034 201 537, 099 861 5176;djecjivrticsarenisvijet@yahoo.com;NA
Udruga za sport i rekreaciju TVORNICA SPORTA;Dario Pisker;Požeško-slavonska županija ;Cvjetna ulica 9;Požega;098 517 805;tvornicasporta@gmail.com;NA
"Dječji vrtić ""Naša radost""";Grad Pregrada;Krapinsko-zagorska županija ;Stjepana Škreblina 1;Pregrada;049/377-489;nasaradost.pregrada@gmail.com; PO Ljudevita Gaja 32, Ljudevita Gaja 32,  
"Dječji vrtić ""Lastavica""";Općina Preko;Zadarska županija ;Prijeških mučenika 1;Preko;023/286-303;info@djecjivrticlastavica.hr; PO Ugljan, Put Jazina 9 , 23275 Ugljan ,  PO Sutomiščica, Školska ulica 1, 23273 Preko ,  PO Lukoran, Lukoranska cesta 6,  
"Dječji vrtić ""Fijolica""";grad Prelog;Međimurska županija ;Trg kralja Tomislava 2;Prelog;040/645-601;dv-fijolica@ck.t-com.hr; PO Cirkovljan, Trg svetog Lovre bb, 42323 Cirkovljan ,  PO Draškovec, Nikole Tesle 2, 42325 Draškovec
"Dječji vrtić""VESELA LOPTICA""";MIKLOŠKA-BAUER USLUGE d.o.o.;Međimurska županija ;Ulica Dragutina Antoleka Orešeka 2a;Prelog;091 4932 842;loptica@vrtic.loptica.eu;NA
Program predškole pri OŠ Vladimira Nazora;Međimurska županija;Međimurska županija ;Braće Radića 2/b;Pribislavec;040/360-870;ured@os-vnazor-pribislavec.skole.hr;NA
Dječji vrtić Videk;Općina Brdovec;Zagrebačka županija ;Pavla Beluhana  2a;Prigorje Brdovečko;015601012;info@dv-videk.hr; PO Januševec, Šumska 1a,   ,  PO Laduč, Zagrebačka 48,  
Dječji vrtić Općine Primošten;Općina Primošten;Šibensko-kninska županija ;Ulica Svetog Josipa ;Primošten;022 570 083;djecji.vrtic.bosiljak@si.t-com.hr;NA
"DV ""Sabunić""";Općina Privlaka;Zadarska županija ;Ruđera Boškovića 10;Privlaka;023/367-713;vrtsab@optinet.hr;NA
Dječji vrtić Privlaka ;OPĆINA PRIVLAKA;Vukovarsko-srijemska  županija ;Školska 61;Privlaka;032 450 846;djecji.vrtic.privlaka@gmail.com;NA
"Dječji vrtić ""Pučišća""";Općina Pučišća;Splitsko-dalmatinska županija ;Park hrvatskih branitelja 1;Pučišća;021/633-391;pucisca.vrtic@gmail.com; PO Levanda, Gornji Humac bb, 21424 Gornji Humac ,  PO Jerulica, Pražnica bb, 21424 Pražnica
Dječji vrtić - Scuola dell' infanzia Rin Tin Tin Pula-Pola;GRAD PULA;Istarska županija ;Glavinićev uspon 4a;Pula;052 522 702;"direttrice@rintintin.hr; pedagogista@rintintin.hr; segretaria@rintintin.hr "; PO Pinguino, Banovčeva 7, 52100 Pula ,  PO Delfini, Santoriova 1, 52100 Pula ,  PO Giardini, Uspon Sv. Stjepana 1,  
"Dječji vrtić ""Šiljo""";Viviana Sudarić;Istarska županija ;Prilaz Puljskih špan;Pula;091-1109-110;siljo-vrtic0503@net.hr;NA
"Dječji vrtić ""Pingvin""";Sibil Išić , SIBIL IŠIĆ;Istarska županija ;Osječka10;Pula;"099/351-5099 ; 052/823-830";sibil.isic@pu.t-com.hr; PO Pula, Voltićeva 7, 52100 Pula ,  PO Loborika, Loborika 28c, 52100 Pula
"Dječji vrtić ""Titti""";Sabina Vidos Vitasović;Istarska županija ;Drenovica 18;Pula;052/ 507 121;sabina.vidos@pu.t-com.hr ;NA
"Dječji vrtić ""Vesela kuća Asando Cher""";Udruga Roma Istre - Pula;Istarska županija ;Kosova Ulica 16;Pula;091/892 38 69;ljiljana.pekica@gmail.com;NA
"Dječji vrtić ""Moj dan - My Day""";Iris Lazarić Kavaja;Istarska županija ;Medulinska 29a;Pula;052/823-904;irismyday@gmail.com;NA
"Dječji vrtić ""Dobrilići""";Elizabeta Červar Vrbanić , Elizabeta Červar Vrbanić;Istarska županija ;Mutilska 25;Pula;095/ 5607708;beticv@gmail.com;NA
"Dječji vrtić ""Veseljko""";DAVORKA VERBANAC HOŠNJAK;Istarska županija ;IVANČIĆEVA 19;Pula;052-505-155;dvveseljko@gmail.com;NA
"Dječji vrtić ""Oblutak""";Suzana Matošević;Istarska županija ;Monte Magno 13;Pula;052/507-028;suzana.matosevic@pu.t-com.hr;NA
"Dječji vrtić ""Vjeverica""";Svetlana Gotovina;Istarska županija ;Orbanin 77;Pula;095 3053079;svetlana.gotovina@pu.htnet.hr;NA
"Dječji vrtić ""Cipelići""";  Rotta Antonio;Istarska županija ;Nazorova 33;Pula;052/218-735     /   098 874521;dvcipelici@gmail.com; PO Nazorova 48, Nazorova 48,  
"Dječji vrtići ""Dado""";Snježana Bakša;Istarska županija ;Štinjan, Kalčeva 11;Pula;052/517-181, 098-224-464;snjezana@dvdado.hr;NA
DV pri Dnevnom centru za rehabilitaciju Veruda - Pula;Gradovi i općine Istarske županije (gradovi: Buje, Buzet, Labin, Novigrad, Pazin, Poreč, Pula, Rovinj, Umag, Vodnjan, općine: Medulin i Vrsar , ;Istarska županija ;Vidikovac 7;Pula;052/223-594;info.dczr@gmail.com;NA
"Dječji vrtić ""Maslačak""";Morena Ravnić , Morena Ravnić;Istarska županija ;Vernalska 12;Pula;052/535-615;maslacak@difusione.hr;NA
"Dječji vrtić ""Bambi""";Liliana Švabić;Istarska županija ;J. Crnobori 82;Pula;098/ 214 877;bambi.pula@gmail.com;NA
"Dječji vrtić ""Topolino""";Grejs Lazarić-Rašin;Istarska županija ;Županska 16;Pula;091 510 22 10;info@topolino.hr;NA
Dječji vrtić Pula;Grad Pula;Istarska županija ;Koparska 31a;Pula;052/542-416;"ravnateljica@dvpula.hr; kadrovska-sluzba@dvpula.hr"; PO Centar, Rižanske skupštine 4, 52100 Pula ,  PO Kaštanjer, Japodska 3, 52100 Pula ,  PO Rožica, Teslina 15, 52100 Pula ,  PO Zvjezdice, Koparska 31A, 52100 Pula ,  PO Loptica, Brunjakova 3, 52100 Pula ,  PO Veli vrh, Sponzina 17 A, 52100 Pula ,  PO Val, Mohorovčićeva 3, 52100 Pula
"Dječji vrtić ""Dugin svijet""";Lorena Banko-Veličković;Istarska županija ;Vodnjanska cesta 17;Pula;052/ 556 878 i mob. 099/677541;dv.duginsvijet@gmail.com;NA
"Dječji vrtić ""Cvrčak""";Elena Tanković-Varga;Istarska županija ;De Franceschijeva 46;Pula;098 460 486;dvcvrcak.pula@gmail.com;NA
"Dječji vrtić ""Kućica od licitra""";Vanja Bosnić , VANJA BOSNIĆ;Istarska županija ;Mutvoranska 2;Pula;052/ 501 726;dvlicitar@gmail.com; PO Gortanova, Gortanova 2, 52100 Pula ,  PO Mutvoranska 2A, Mutvoranska 2a, 52100 Pula
"DV ""Histrići""";Renata Kovačević;Istarska županija ;Lungera 3;Pula;098/ 698 648;histrici@gmail.com;NA
"Dječji vrtić ""Mali svijet""";GRAD PULA;Istarska županija ;Banovčeva 29;Pula;099/259-3619;ravnateljica@dvmalisvijet.hr; Po Izvor, Kamenjak 6,   ,  PO Latica , Krležina 41,   ,  PO Vjeverice, Ujevićeva 1,   ,  PO Monte Zaro, Park Monte Zaro 1,   ,  Po Mali zeleni, Palazzine 1,   ,  PO Zvončići, Osječka 7,   ,  PO Ribice, Uskočka 20,  
Dječji vrtić Slatki svijet;Maja Pliško Škalic;Istarska županija ;Limska 3;Pula;052 556610;dvslatkisvijet@gmail.com;NA
"Dječji vrtić ""ZVONČICA""";Natali Orlić Zuban , Natali Orlić ZUban;Istarska županija ;Put od Fortice 29;Pula;098/1605693;djecjivrticzvoncica@gmail.com  ; PO Vodnjan, Ulica Prvog maja 34b, 52215 Vodnjan
Program predškole pri OŠ Ivana Filipovića;Općina Drenovci;Vukovarsko-srijemska  županija ;Ante Starčevića 1;Račinovci;032/876-001;ured@os-ifilipovic-racinovci.skole.hr;" PŠ ""Đurići"", Matije Gupca 99, 32260 Đurići"
Dječji vrtić Škrinjica;Ivana Žlabur;Krapinsko-zagorska županija ;Radoboj 48/A;Radoboj;049/ 490 321;skrinjica.radoboj@gmail.com;NA
"DV ""Potočić""";Marijana Biber , Marijana Biber;Zagrebačka županija ;Samoborska cesta 214;Rakov Potok;6586-066;djecji.vrtic.potocic@zg.t-com.hr;NA
"Dječji vrtić ""Snješko""";Općina Ravna Gora;Primorsko-goranska županija ;Ivana Mažuranića 20A;Ravna Gora;051 896-7922;dv.snješko.rg@gmail.com;NA
"Dječji vrtić ""Ražanac""";Općina Ražanac;Zadarska županija ;Ražanac X/9;Ražanac;023/323-221;djecji.vrtic.razanac@gmail.com;NA
Dječji vrtić Čarobni svijet u Rešetarima;Općina Rešetari;Brodsko-posavska županija ;Ulica Matije Gupca 2;Rešetari;035 367 231;vrtic@resetari.hr;NA
Dječji vrtić ŽIRAFA;Marija Šimunović;Primorsko-goranska županija ;Ante Mandića 50;Rijeka;0911520400;djvrticzirafica@gmail.com;" PO Žirafica, Prvog maja 10,   ,  PO ""Svjetlost"", Ante Mandića 50,  "
Dječji vrtić Luna;DOLORES MATKOVIĆ , DOLORES MATKOVIĆ;Primorsko-goranska županija ;Medovićeva 35;Rijeka;0916052400;djecjivrticluna@gmail.com;NA
DV Snjeguljica;Barbara  Drezga;Primorsko-goranska županija ;Bože Starca Jurićeva 58;Rijeka;051/639 668;dvsnjeguljicari@gmail.com; PO Sedam Patuljaka, Bože Starca Jurićeva 52, 51000 Rijeka
"Dječji vrtić ""Zlatan""";Vinka Mataija;Primorsko-goranska županija ;Primorska 9;Rijeka;051637158;djecji.vrtic.zlatan@ri.t-com.hr;NA
Dječji vrtić Sušak;GRAD RIJEKA , ;Primorsko-goranska županija ;Braće Stipčić 32;Rijeka;051/499 021;milena.vuletic@rivrtici.hr; PPO Morčić, Braće Stipčić 32,   ,  PPO Galeb, Kvaternikova 60,   ,  PPO Vežica, Kvaternikova 37,   ,  PPO Veseljko, Janka Polića Kamova 58,   ,  PPO Pčelice, Slavka Krautzeka 84,  
Dječji vrtić More;Grad Rijeka;Primorsko-goranska županija ;Marohnićeva 12;Rijeka;"051/431 875; 051/554 977; ";jasna.crncic@rivrtici.hr; PPO Đurđice, Marohnićeva 12,   ,  PPO Bulevad, Trg braće Mažuranića 4,   ,  PPO Kvarner, Kalvarija 1/I,   ,  PPO Delfin, Ive Marinkovića 22,   ,  PPO Vidrice, Finderleove stube 1,  
