naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
GLAZBENA ŠKOLA VATROSLAVA LISINSKOG;Osnovna škola, Srednja škola, Umjetnička škola;21-114-593;Grad Zagreb;GUNDULIĆEVA 4/1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antonio  Mrčela;01/483-07-64, 483-07-67 , 098-9779-374;01/483-07-67;glazbena.lisinski@gmail.com;www.glazbena-lisinski.hr
Glazbena škola Blagoja Berse;Osnovna škola, Srednja škola, Umjetnička škola;21-114-594;Grad Zagreb;BRITANSKI TRG 5;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mislav  Defar;"01/482-35-53;482-35-70";NA;glazbena@bersa.hr;NA
Centar za odgoj i obrazovanje Vinko Bek;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola, Umjetnička škola;21-114-153;Grad Zagreb;Kušlanova 59a;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivana  Rotim;01/2382241 , 01/2382242 , 01/2382200;01/2382240;vinkobe1@post.t-com.hr;NA
"CENTAR ZA ODGOJ I OBRAZOVANJE ""Slava Raškaj"" Zagreb";Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;21-114-147;Grad Zagreb;Vladimira Nazora 47;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelena  Grabovac;01/4821202 , 01/4821204 , 01/3764800;01/4875977 , 01/3764800;ured@centar-sraskaj-zg.skole.hr;http://centar-sraskaj-zg.skole.hr
Centar za odgoj i obrazovanje Dubrava;Posebna ustanova odgoja i obrazovanja, Srednja škola;21-114-149;Grad Zagreb;PRILAZ TOMISLAVA ŠPOLJARA 2;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Liliana  Kalčić Galeković;01/291-16-65 , 01/291-16-67;01/291-16-67;centar-dubrava@zg.t-com.hr;www.centardubrava.hr
II. gimnazija;Srednja škola;21-114-502;Grad Zagreb;Križanićeva 4;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Drago  Bagić;01/4662854 , 01/4662853 , 01/4500166 , 01/4500163 , 01/4500165 , 01/4500-161 , 01/4611-834 , 01/4611-832;NA;2.gimnazija-zagreb@zg.t-com.hr , ured@gimnazija-druga-zg.skole.hr;www.druga.hr
I. GIMNAZIJA;Srednja škola;21-114-501;Grad Zagreb;AVENIJA DUBROVNIK 36;10010  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dunja  Marušić Brezetić;01/660-11-53, 660-16-65 , 01/669-26-78;NA;ured@gimnazija-prva-zg.skole.hr , info@prva.hr;www.prva.hr
III. GIMNAZIJA;Srednja škola;21-114-503;Grad Zagreb;KUŠLANOVA 52;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darka  Sudarević;01/233-96-27 , 01/230-54-54 , 01/233-96-29;01/230-54-54;ured@gimnazija-treca-zg.skole.hr , treca.zg@3gimnazija.hr;http://gimnazija-treca-zg.skole.hr
IV. Gimnazija;Srednja škola;21-114-504;Grad Zagreb;Ulica Žarka Dolinara 9;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Kamčev Bačani;01/66 77 188 , 01/66 03 001 , 01/66 88 669;01/66 77 228;4.gimnazija-zg@zg.htnet.hr;http://www.gimnazija-cetvrta-zg.skole.hr/
V. gimnazija;Srednja škola;21-114-505;Grad Zagreb;KLAIĆEVA 1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tihomir  Engelsfeld;01/482-80-70 , 01/482-62-03 , 01/483-81-22, 482-80-71;01/483-81-27;tajnistvo@petagimnazija.hr;http://www.petagimnazija.hr
GORNJOGRADSKA GIMNAZIJA;Srednja škola;21-114-506;Grad Zagreb;Trg Katarine Zrinske 5;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Radovan  Librić;01/485-20-57 , 01/487-59-33 , 01/485-19-48 , 01/485-20-56 , 01/485-19-53;NA;gornjogradska@ggg.hr;NA
VII. GIMNAZIJA;Srednja škola;21-114-507;Grad Zagreb;KRIŽANIĆEVA 4;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivka  Nevistić;01/4501 233 , 01/4501 231 , 01/4611 741 ;01/4552 865 ;7.gimnazija-zg@zg.t-com.hr , tajnistvo@gimnazija-sedma-zg.skole.hr;www.sedma.hr
Gimnazija Tituša Brezovačkog;Srednja škola;21-114-508;Grad Zagreb;HABDELIĆEVA 1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Jelenski;01/485-24-10 , 01/485-19-37 , 01/485-19-38;01/485-24-10;osma.gimnazija@zg.t-com.hr , ss-zagreb-508@skole.t-com.hr , gimnazija.titusa.brezovackog@zg.t-com.hr;NA
IX. GIMNAZIJA;Srednja škola;21-114-509;Grad Zagreb;Dobojska 12;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Lušić Radošević;01/309-71-97 , 01/309-71-97 , 01/309-71-99 , 01/309-71-98;NA;deveta@gimnazija-deveta-zg.skole.hr;http://www.9gimnazija.hr
X. gimnazija Ivan Supek;Srednja škola;21-114-510;Grad Zagreb;KLAIĆEVA 7;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željka  Frković;01/550 9280 , 01/550 9290 , 01/377 1879 , 01/377 2136, 01/550 9283 , 01/377 8426, 01/377 4708;01/377 2136 , 01/377 4765;tajnistvo@deseta-gimnazija.hr , referada@deseta-gimnazija.hr , deseta@deseta-gimnazija.hr;www.deseta-gimnazija.hr
XI. GIMNAZIJA;Srednja škola;21-114-511;Grad Zagreb;SAVSKA CESTA 77;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Sečić-Kopinč;01/6177 489;NA;ured@gimnazija-jedanaesta-zg.skole.hr;http://gimnazija-jedanaesta-zg.skole.hr/
XII. Gimnazija;Srednja škola;21-114-512;Grad Zagreb;GJURE PREJCA 2;10040  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Blaženka  Ječminek;01 299 23 56 , 01 299 23 58;NA;ured@gimnazija-dvanaesta-zg.skole.hr;http://gimnazija-dvanaesta-zg.skole.hr/
XIII. gimnazija;Srednja škola;21-114-513;Grad Zagreb;Avenija Većeslava Holjevca 17;10010  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;01/ 66 01 232 , 01/6600 643 , 01/6683 864 , 01/6623 600;NA;ured@gimnazija-trinaesta-zg.skole.hr ;http://www.xiiigimnazija.com 
Gimnazija Lucijana Vranjanina;Srednja škola;21-114-514;Grad Zagreb;TRG HRVATSKIH PAVLINA 1;10090  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milica  Medak;01/373-22-40 , 01/373-23-66 , 01/373-24-95, 373-45-94;01/373-21-12;gimnazija@lucijanka.hr;NA
XV. GIMNAZIJA;Srednja škola;21-114-515;Grad Zagreb;JORDANOVAC 8;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Dmitrović;01/232-84-85 , 01/232-15-64 , 01/232-84-85;01/232-15-64;ravnatelj@mioc.hr;www.mioc.hr
XVI. GIMNAZIJA;Obrazovanje odraslih, Srednja škola;21-114-516;Grad Zagreb;KRIŽANIĆEVA 4A;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nina  Karković;01/461-15-16 , 01/461-15-16 , 01/461-19-77;01/461-15-19;xvi.gimnazija@zg.t-com.hr;NA
KLASIČNA GIMNAZIJA;Srednja škola;21-114-517;Grad Zagreb;Križanićeva 4a;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravka  Martinić-Jerčić;01/461-17-18 , 01/461-17-18 , 01/461-15-17 , 01/4611-718;NA;klasicna.gimnazija@skole.hr;NA
XVIII. gimnazija;Srednja škola;21-114-518;Grad Zagreb;MESIĆEVA 35;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Irena  Vajdovčić;01/4636-338 , 01/4616-136 , 01/4663-758 , 01/4680-647 , 01/4680-641 , 01/4680-645;01/4636-338;ravnateljica@gimnazija-osamnaesta-zg.skole.hr , matura@gimnazija-osamnaesta-zg.skole.hr , psiholog@gimnazija-osamnaesta-zg.skole.hr , pedagog@gimnazija-osamnaesta-zg.skole.hr , knjiznica@gimnazija-osamnaesta-zg.skole.hr , tajnik@gimnazija-osamnaesta-zg.skole.hr , racunovodstvo@gimnazija-osamnaesta-zg.skole.hr , sluzbenik.za.zastitu.osobnih.podataka@gimnazija-osamnaesta-zg.skole.hr , ured@gimnazija-osamnaesta-zg.skole.hr;http://www.gimnazija-osamnaesta-zg.skole.hr/
ZDRAVSTVENO UČILIŠTE;Srednja škola;21-114-519;Grad Zagreb;MEDVEDGRADSKA 55;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Hrvoje  Odak;01/555-2151 , 01/555-2161 , 01/555-2152 , 01/555-2175, 555-2195, 555-2192, 555-2171;01/555-2164;info@zdravstveno-uciliste.hr;NA
ŠKOLA ZA MEDICINSKE SESTRE MLINARSKA;Srednja škola;21-114-520;Grad Zagreb;Mlinarska cesta 34;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Asja  Jelaković;01/466-78-62 , 01/466-80-79 , 01/466-80-79 , 01/466-80-81 , 01/ 466-60-61;01/466-84-94;admin@ss-medsestremlinarska-zg.skole.hr , mlinarska@mlinarska.hr;www.mlinarska.hr
ŠKOLA ZA MEDICINSKE SESTRE VINOGRADSKA;Srednja škola;21-114-521;Grad Zagreb;VINOGRADSKA CESTA 29;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Višnja  Pranjić;01/376-84-57 , 01/376-84-57 , 091 554 76 97, 01/376-86-55 , 01/378-71-26 , 01/370-09-77;01 37 00 988;sms@skolamedvinogradska.hr;www.skolamedvinogradska.hr
ŠKOLA ZA PRIMALJE;Srednja škola;21-114-522;Grad Zagreb;VINOGRADSKA CESTA 29;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Feil Ostojić;01/376-82-85 , 01/376-86-44 , 01/376-91-61;01/376-86-44;szp@ss-primalje-zg.skole.hr;www.ss-primalje-zg.skole.hr
ŠKOLA ZA MEDICINSKE SESTRE VRAPČE;Srednja škola;21-114-523;Grad Zagreb;BOLNIČKA CESTA 32;10090  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Višnja  Vičić - Hudorović;01/3483 662 , 01/3483 662 , 01/3483 662 , 01/348-36-62;NA;msvrapce@ss-medicinske-vrapce-zg.skole.hr;https://www.szmsv.hr/
Veterinarska škola;Srednja škola;21-114-524;Grad Zagreb;GJURE PREJCA 2;10040  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;01/299-23-54 , 01/298-15-35;NA;veterinarska.skola@ss-veterinarska-zg.skole.hr;http://www.ss-veterinarska-zg.skole.hr
I. tehnička škola Tesla;Srednja škola;21-114-527;Grad Zagreb;KLAIĆEVA 7;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vjekoslav  Ditrih;01/377-14-00 , 01/377-35-86 , 01/377-18-80 , 01/375-65-77, 377-16-24;01/376-53-29;tesla@tesla.hr ,  tesla@ss-prva-tehnicka-tesla-zg.skole.hr;NA
Elektrotehnička škola;Srednja škola;21-114-528;Grad Zagreb;KONAVOSKA 2;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Renato  Matejaš;01/366-61-14 , 01/366-61-14 , 01/366-50-33  , 01/366-5666;NA;skola@ss-elektrotehnicka-zg.skole.hr;http://ss-elektrotehnicka-zg.skole.hr/
Elektrostrojarska obrtnička škola;Srednja škola;21-114-530;Grad Zagreb;SELSKA CESTA 83;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Anto  Delač;01 3695 080 , 01 3023 822 , 01 3023 823 , 01 3018 611;01 3026 165;anto.delac@skole.hr , info@esos.hr;www.esos.hr
GRADITELJSKA TEHNIČKA ŠKOLA;Srednja škola;21-114-531;Grad Zagreb;AVENIJA VEĆESLAVA HOLJEVCA 17;10020  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dinka  Džeko;01/667-05-06 , 01/662-28-06, 667-05-06 , 01/667-73-35, 667-24-72;01/667-05-06;info@gts.hr , gts@gts.hr;http://www.ss-graditeljska-zg.skole.hr/
Geodetska škola;Srednja škola;21-114-532;Grad Zagreb;AVENIJA VEĆESLAVA HOLJEVCA 15;10020  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravka  Šimić;01/660-06-48 , 01/660-06-48 , 01/660-06-48;NA;uprava@geoskola.hr;www.geoskola.hr
PRVA EKONOMSKA ŠKOLA;Srednja škola;21-114-535;Grad Zagreb;MEDULIĆEVA 33;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nenad  Travar;01/482-80-96;01/482-66-84;srednja@prva-ekonomska-skola.hr , prvaekonomska.tajnistvo@gmail.com;NA
DRUGA EKONOMSKA ŠKOLA;Srednja škola;21-114-536;Grad Zagreb;DOBOJSKA 12;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ana  Naletilić;01/309-71-96, 309-71-95 , 01/309-71-96, 309-71-95 , 01/309-71-96, 309-71-95;01/309-71-96, 309-71-95;ured@ss-druga-ekonomska-zg.skole.hr;http://ss-druga-ekonomska-zg.skole.hr/
Treća ekonomska škola;Srednja škola;21-114-537;Grad Zagreb;TRG J. F. KENNEDYA 5;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Bernard  Iličić;01/233-61-16 , 01/232-80-23 , 01/231-51-61 , 01/233-82-58, 232-53-83;01/232-80-23;treca.ekonomska@tes.hr;NA
PRIRODOSLOVNA ŠKOLA VLADIMIRA PRELOGA;Srednja škola;21-114-538;Grad Zagreb;ULICA GRADA VUKOVARA 269;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Stić;01/618-47-64, 618-47-72 , 01/618-47-80 , 01/618-47-97 , 01/618-48-29, 618-48-28;01/618-47-80;info@psvprelog.hr , ravnatelj@psvprelog.hr;www.psvprelog.hr
UGOSTITELJSKO-TURISTIČKO UČILIŠTE;Srednja škola;21-114-539;Grad Zagreb;KOMBOLOVA 2 A;10020  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mladen  Smodlaka;01/668-69-86, 668-68-66 , 01/660 17 39 , 01/668-43-65, 668-48-68 , 01/660-39-26, 669-26-49, 660-39-15, 660-39-21;01/668-43-77;ured@uciliste-ugostiteljsko-turisticko-zg.skole.hr , ravnatelj@utu.hr , tajnik@utu.hr;www.utu.hr
Poštanska i telekomunikacijska škola;Srednja škola;21-114-540;Grad Zagreb;TRG J. F. KENNEDYJA 9;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Sviben;01/230-07-08 , 01/230-07-08 , 01/230-07-08;01/230-42-16;ptskola@ptskola.hr;http://www.ss-pts-zg.skole.hr/
ŠKOLA ZA CESTOVNI PROMET;Srednja škola;21-114-541;Grad Zagreb;TRG J. F. KENNEDYJA 8;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Ćurković;01/230-34-44 , 01/230-34-58;01/230-05-81;info@scp.hr;NA
AGRONOMSKA ŠKOLA ZAGREB;Srednja škola;21-114-542;Grad Zagreb;GJURE PREJCA 2;10040  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Marinić;01/2992133 , 01/2988670 , 01/2920460;01/2988670;ured@agronomska-skola-zg.skole.hr , agronomskaskolazg@psz.hr;http://agronomska-skola-zg.skole.hr/
PREHRAMBENO-TEHNOLOŠKA ŠKOLA;Srednja škola;21-114-543;Grad Zagreb;GJURE PREJCA 2;10040  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Šestak;01/647-13-00 , 01/647-13-03 , 01/647-13-08 , 01/298-21-63 , 01/299-23-55 , 01/299-23-53 , 01/299-23-52 , 01/299-23-57;01/299-54-24;ured@ss-prehrambenotehnoloska-zg.skole.hr , josip.sestak@skole.hr;https://prehrambeno-tehnoloska-skola.hr
Škola za modu i dizajn;Srednja škola, Umjetnička škola;21-114-544;Grad Zagreb;PRILAZ BARUNA FILIPOVIĆA 30;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Dadić Žeravica;01/377-31-33 , 01/370-31-55;01/370-34-37;mid@ss-moda-dizajn-zg.skole.hr;www.ss-moda-dizajn-zg.skole.hr
Škola za grafiku, dizajn i medijsku produkciju;Srednja škola;21-114-545;Grad Zagreb;GETALDIĆEVA 2;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dubravko  Deželić;01/237-10-70 , 01/237-10-75 , 01/237-10-76;01/2456-245;info@skola-gdmp.hr;skola-gdmp.hr
