"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Ustanova Upravljanje sportskim objektima";"Trg Krešimira Ćosića 11";"10000";"Zagreb";"Grad Zagreb";"01/6421-014";"uso.marketing@sportskiobjekti.hr"
"Udruga ""SPORTSKA ŠKOLA DINAMO""";"Slavka Batušića 29";"10000";"Zagreb";"Grad Zagreb";"0923781274, 0922354868";"info@sportskaskoladinamo.hr"
"Dječji vrtić Vrhovine";"Senjska 60";"53223";"Vrhovine";"Ličko-senjska županija ";"053/333-345";" info-vrtic@vrhovine.hr"
"Dječji vrtić Vlakić Martijanec";"Školska ulica 3B";"42230";"Martijanec";"Varaždinska županija ";"099/687-4862       ";"djecji.vrtic.vlakic.martijanec@vz.ht.hr"
"DJEČJI VRTIĆ ""POTOČIĆ"" BELAJSKE POLJICE";"BELAJSKE POLJICE 105B";"47252";"Barilović";"Karlovačka županija ";"047/742-310, 098/91-29355, 091";"vrtic.bel.poljice@gmail.com"
"Dječji vrtić ""Ogledalce""";"Školska 4";"31216";"Ernestinovo";"Osječko-baranjska županija ";"031/ 216-332";"ravnateljica.dv.ogledalce@gmail.com"
"Predškolski odgoj u ustrojbenoj jedinici Osnovne škle Ivan Goran Kovačić Duga Resa, Područna škola Bosiljevo";"Ulica bana Josipa Jelačića 8";"47250";"Duga Resa";"Karlovačka županija ";"047/844-011";"ured@os-igkovacic-dugaresa.skole.hr"
"Dječji vrtić Petar Pan Satnica Đakovačka";"Ante Starčevića 26";"31400";"Satnica Đakovačka";"Osječko-baranjska županija ";"031/852 122";"dvpetarpan.satnicadjakovacka@gmail.com"
"Dječji vrtić ""Sibinj""";"Trg kralja Tomislava 7";"35252";"Sibinj";"Brodsko-posavska županija ";"035/438-095";"vrtic.sibinj@gmail.com"
"Dječji vrtić ""Čarobna šuma"" Špišić Bukovica";"Vinogradska 6";"33404";"Špišić Bukovica";"Virovitičko-podravska županija ";"033/898 7465";"dvcarobnasumaspb@gmail.com"
"Dječji vrtić ""Latica Garčin""";"Put Surevice 4";"35212";"Garčin";"Brodsko-posavska županija ";"035/ 351 - 877, 099/ 499-9935";"latica.garcin@gmail.com"
"Dječji vrtić Vinica";"Ulica Josipa Dumbovića 3";"42207";"Marčan";"Varaždinska županija ";"042/ 722-233";"vrticvinica@gmail.com"
"Dječji vrtić ""Bambi"" Kaptol";"Češka ulica 8";"34334";"Kaptol";"Požeško-slavonska županija ";"034/231 592";"vrtic@opcina-kaptol.com"
"Dječji vrtić LIŠNJAK";"Pićan 60";"52332";"Pićan";"Istarska županija ";"052/387264, 098/305631     ";" lisnjak@pican.hr"
"Dječji vrtić „Jurovska pčelica“";"Ivana Gorana Kovačića 111/a";"40000";"Lopatinec";"Međimurska županija ";"040/337-028, 099 500 3259 ";"dv.jpcelica@gmail.com"
"Dječji vrtić Sovice";"Gornji Mihaljevec 74";"40000";"Gornji Mihaljevec";"Međimurska županija ";" 040/899-105, 0989422865";"dv.sovice@gmail.com"
"Dječji vrtić ""Zibeljko""";"Trg Svete Marije 24";"42253";"Bednja";"Varaždinska županija ";"042/ 791-016";"djecji.vrtic@bednja.hr"
"Dječji vrtić ""Šandrovac""";"Bjelovarska 3a";"43000";"Šandrovac";"Bjelovarsko-bilogorska županija ";"043/448 260,099/2075020";"djecji.vrtic.sandrovac@gmail.com"
"Dječji vrtić ""Sretna djeca""";"Grana 149";"42220";"Novi Marof";"Varaždinska županija ";"091-391-9870";"dv.sretnadjeca@gmail.com"
"TAEKWONDO KLUB  FENIKS-VUKOMEREC";"SOBOLSKI PUT 2A";"10000";"Zagreb";"Grad Zagreb";"01/2946497, 0915671514";"info@tkd-feniks.hr"
"Dječji vrtić Palčić ";"Hrvatskih dragovoljaca 5";"32249";"Tovarnik";"Vukovarsko-srijemska  županija ";"032/521 172";"dvpalcic.tovarnik@gmail.com"
"Dječji vrtić Žabac Sveti Ivan Žabno";"Trg Karla Lukaša bb";"48214";"Sveti Ivan Žabno";"Koprivničko-križevačka županija ";"048/810250";"zabac@osiz.hr"
"Dječji vrtić Skradin";"Put Križa 1";"22222";"Skradin";"Šibensko-kninska županija ";"022/771636";"grad.skradin@si.t.-com.hr"
"Dječji vrtić ""Suncokret Sveti Đurđ""";"Ulica Ljudevita Gaja 2A";"42230";"Sveti Đurđ";"Varaždinska županija ";"042/217 721";"suncokret@sveti-djurdj.hr"
"Dječji vrtić Bambi Sopje";"Kralja Tomislava 6";"33525";"Sopje";"Virovitičko-podravska županija ";"033/500-142";"bambisopje@gmail.com"
"Dječji vrtić ""Kadujica""";"30. svibnja  br.12";"21220";"Okrug Gornji";"Splitsko-dalmatinska županija ";"021/892 029";
"Dječji vrtić Bajka Strizivojna ";"Braće Radića 170";"31410";"Strizivojna";"Osječko-baranjska županija ";"098/967 6092";"ravnateljica@djecjivrticbajka.hr"
"Dječji vrtić Sveti Križ Začretje";"Trg Julija Lembergera 7";"49223";"Sveti Križ Začretje";"Krapinsko-zagorska županija ";"049/521-034";"info@sveti-kriz-zacretje.hr"
"DJEČJI VRTIĆ "" KRIJESNICA GRADINA "" GRADINA";"Trg kralja Zvonimira 6 ";"33411";"Gradina";"Virovitičko-podravska županija ";"099/2163785         ";"opcina-gradina@vt.t-com.hr"
"Dječji vrtić Ivica i Marica";"Savska 33";"32274";"Štitar";"Vukovarsko-srijemska  županija ";"097/7311353";"vrticivicamarica@gmail.com"
"Dječji vrtić ""Leptirići"" Podravske Sesvete";"Trg kralja Tomislava 14";"48350";"Podravske Sesvete";"Koprivničko-križevačka županija ";"048/733 146";"info@podravske-sesvete.hr"
"Dječji vrtić Bambi Nijemci";"Lovorova 2";"32245";"Nijemci";"Vukovarsko-srijemska  županija ";"032 280012";"dvbambinijemci@gmail.com"
"Dječji vrtić ""Lipa"" Čađavica";"Kolodvorska 3a";"33523";"Čađavica";"Virovitičko-podravska županija ";"0919795171";"djecjivrtic.lipa@gmail.com"
"Dječji vrtić Markušica";"VukaStefanovića Karadžića 3a";"32213";"Markušica";"Vukovarsko-srijemska  županija ";;
"Dječji vrtić Maslina";"Vladimira Nazora 6";"22211";"Tribunj";"Šibensko-kninska županija ";"022/446-145";"dvmaslina.tribunj@gmail.com"
"Dječji vrtić ""Bambi Podcrkavlje""";"Diljska 33";"35000";"Podcrkavlje";"Brodsko-posavska županija ";"035/221 546";"bambi.podcrkavlje@gmail.com"
"Dječji vrtić ""Hlapić"" Semeljci";"Kolodvorska 2B";"31402";"Semeljci";"Osječko-baranjska županija ";"031/856 310";"info@hlapic.semeljci.hr"
"Dječji vrtić ""Snješko""";"Ivana Mažuranića 20A";"51314";"Ravna Gora";"Primorsko-goranska županija ";"051 896-7922";"dv.snješko.rg@gmail.com"
"Udruga Zlatni dani";"Savska 33";"32274";"Štitar";"Vukovarsko-srijemska  županija ";"097/7311353";"tina.dominkovic@gmail.com"
"Program predškole pri OŠ Franka Lisice Polača ";"Polača 140";"23210";"Polača";"Zadarska županija ";"023/662-166 ";"ured@os-polaca.skole.hr"
"Dječji vrtić Biser Lastova";"Homac 5";"20290";"Lastovo";"Dubrovačko-neretvanska županija ";"020/801–220";"djecji.vrtic@lastovo.hr"
"Dječji vrtić ""DIN-DON"" Gradec";"Gradec 97";"10340";"Gradec";"Zagrebačka županija ";;"djecjivrtic.gradec@gmail.com"
"Dječji vrtić ""Regoč"" ";"Braće Radića 15 B";"32276";"Babina Greda";"Vukovarsko-srijemska  županija ";"0332 854-400";"babinagreda@gmail.com"
"Dječji vrtić ""Crvenkapica"" Farkaševac";"Farkaševac 30 A";"10342";"Farkaševac";"Zagrebačka županija ";;"vrtic@dv-crvenkapica.opcina-farkasevac.hr"
"Dječji vrtić Privlaka ";"Školska 61";"32251";"Privlaka";"Vukovarsko-srijemska  županija ";"032 450 846";"djecji.vrtic.privlaka@gmail.com"
"Dječji vrtić Mendula";"Don Balda Vijalića 9A";"22213";"Pirovac";"Šibensko-kninska županija ";"0915280598";"dvmendulap@gmail.com"
"Dječji vrtić Veliko Trojstvo ";"Braće Radića 49";"43000";"Veliko Trojstvo";"Bjelovarsko-bilogorska županija ";"043 247-561";"vrtic@veliko-trojstvo.hr"
"Dječji vrtić „Jarmina“ Jarmina ";"J.J.Strossmayera 80";"32280";"Jarmina";"Vukovarsko-srijemska  županija ";"032/ 450-201";"dv.jarmina@gmail.com  "
"Mali svijet Gradište";"Trg hrvatskih velikana 36";"32273";"Gradište";"Vukovarsko-srijemska  županija ";"0994182577";"vrtic.malisvijet@gmail.com"
"Dječji vrtić Pčelica";"Bartola Kašića 25";"20236";"Mokošica";"Dubrovačko-neretvanska županija ";"020 32 55 91, 099 58 99 174";"info@dv-pcelica.hr"
"Dječji vrtić Potočić Tuheljski";"Tuhelj 39a";"49215";"Tuhelj";"Krapinsko-zagorska županija ";"049/300927";"potocic.tuheljski@gmail.com"
"Mačići";"Mače 84 E";"49251";"Mače";"Krapinsko-zagorska županija ";"049 249 087";"info@djecjivrticmacici.hr"
"Selnički zvončići ";"Bukovčak 1C";"40313";"Selnica";"Međimurska županija ";"0998412136";
